number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
0,4,4,2,4,0.005205464,9.0,38,0.076647282,9.0,38,0.1146688461303711,9.0,594,0.056419039,10,248,0.002717876,14,0,0.001322222,,0.110790658,,0.003897834,,0.010877204,11.0,0.002101684,,0.01058743,12.0,0.0341895818710327,30,139,1.7202346324920654,,10000
1,4,4,2,4,0.007874346,11.0,43,0.1204848289489746,11.0,43,0.0231808185577392,11.0,79,0.025580907,11,78,0.003228664,20,0,0.00199635,,0.046475506,,0.004586697,,0.009223318,9.0,0.002415156,,0.013060665,10.0,0.0835554599761962,100,643,1.665072679519653,,10000
2,4,4,2,4,0.0188604831695556,10.0,98,0.099954605,10.0,54,0.0157848358154296,10.0,94,0.014240550994873,10,82,0.002700567,15,0,0.001514506,,0.057340574,,0.005896544,,0.009951615,14.0,0.010432696,12.0,0.009152293,12.0,0.0325466394424438,48,201,1.6668906211853027,,10000
3,4,4,2,4,0.0292974472045898,7.0,191,0.2292966842651367,7.0,120,0.089077282,7.0,532,0.026973343,8,131,0.00194962,11,0,0.002810669,,0.076338339,,0.003753209,,0.006190825,10.0,0.001006436,,0.065574789,,0.0511627197265625,82,419,2.1843754053115845,,10000
4,4,4,2,4,0.005326223,10.0,36,0.083541393,10.0,36,0.013032603,10.0,78,0.019163942,11,82,0.003500795,13,0,0.001514983,,0.047671676,,0.006516218,,0.008321333,13.0,0.010076904,11.0,0.01245997,11.0,0.0992418527603149,100,527,1.8766378164291384,,10000
5,4,4,2,4,0.007003379,10.0,41,0.076534033,10.0,41,0.066646266,10.0,333,0.032920742,11,147,0.002703857,17,0,0.002613759,,0.078664207,,0.007559848,9.0,0.006381297,9.0,0.008234572,9.0,0.01378336,9.0,0.0560859441757202,86,412,1.6747809648513794,,10000
6,4,4,2,4,0.0159685134887695,10.0,90,0.3129713535308838,10.0,131,1.876695656776428,10.0,10000,0.340418529510498,11,1449,0.002816129,15,0,0.002677774,,0.073357582,,0.007764864,9.0,0.010199165,9.0,0.010486722,10.0,0.009778237,10.0,0.0179665088653564,28,116,1.912961721420288,,10000
7,4,4,2,4,0.007152891,7.0,46,0.1915967464447021,7.0,97,0.006158113,7.0,41,0.007389283,8,41,0.002320123,13,0,0.003012419,,0.075878906,,0.008384752,8.0,0.00765729,8.0,0.010503387,8.0,0.011859751,8.0,0.0519191026687622,62,343,1.6579086780548096,,10000
8,4,4,2,4,0.005136395,9.0,36,0.059093952,9.0,36,0.024565101,9.0,177,0.017203188,9,84,0.002800155,14,0,0.001815987,,0.087641382,,0.006001043,8.0,0.008742666,8.0,0.001770306,,0.007412219,9.0,0.0714137554168701,88,445,1.7382551431655884,,10000
9,4,4,2,4,0.1161195039749145,9.0,736,0.2516562938690185,9.0,129,0.00764184,9.0,55,0.010337782,9,55,0.002026463,12,0,0.001454973,,0.120416856,,0.008128619,10.0,0.008585024,10.0,0.0035671,,0.015451193,11.0,0.0829224586486816,91,460,1.9603060483932493,,10000
